time,step-size,{controller}.Steering_control.delta_f,{controller}.Steering_control.speed,{robot}.robotti_global.d_front_l,{robot}.robotti_global.d_front_r,{robot}.robotti_global.read_right_wheel_pos,{robot}.robotti_global.rear_left_wheel_pos,{robot}.robotti_global.theta,{robot}.robotti_global.x,{robot}.robotti_global.y
90.24999999999702,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.683906666669177,-26.683906666669177,3.628666389984281,37.74522633602753,4.276202082138524
90.29999999999701,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.698706666669178,-26.698706666669178,3.631109662696338,37.71982573280613,4.23313459890205
90.34999999999701,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.71350666666918,-26.71350666666918,3.6335529354083955,37.6943199798983,4.190129304751915
90.39999999999701,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.72830666666918,-26.72830666666918,3.635996208120453,37.66870922956264,4.147186456411599
90.449999999997,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.74310666666918,-26.74310666666918,3.6384394808325102,37.64299363468454,4.104306310231809
90.499999999997,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.757906666669182,-26.757906666669182,3.6408827535445676,37.617173348775246,4.0614891221889495
90.549999999997,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.772706666669183,-26.772706666669183,3.643326026256625,37.591248525971004,4.018735147883588
90.599999999997,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.787506666669184,-26.787506666669184,3.6457692989686823,37.56521932103207,3.9760446425389326
90.649999999997,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.802306666669185,-26.802306666669185,3.6482125716807396,37.539085889341834,3.9334178609993105
90.69999999999699,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.817106666669186,-26.817106666669186,3.650655844392797,37.512848386905866,3.890855057728643
90.74999999999699,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.831906666669187,-26.831906666669187,3.6530991171048544,37.486506970350995,3.848356486808929
90.79999999999698,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.84670666666919,-26.84670666666919,3.6555423898169117,37.46006179692438,3.8059224019387266
90.84999999999698,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.86150666666919,-26.86150666666919,3.657985662528969,37.43351302449256,3.7635530564316393
90.89999999999698,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.87630666666919,-26.87630666666919,3.6604289352410264,37.406860811540525,3.7212487032148056
90.94999999999698,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.89110666666919,-26.89110666666919,3.6628722079530838,37.38010531717076,3.679009594827385
90.99999999999697,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.905906666669193,-26.905906666669193,3.665315480665141,37.35324670110227,3.6368359834190542
91.04999999999697,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.920706666669194,-26.920706666669194,3.6677587533771985,37.32628512366969,3.5947281207485005
91.09999999999697,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.935506666669195,-26.935506666669195,3.670202026089256,37.299220745822275,3.552686258181919
91.14999999999696,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.950306666669196,-26.950306666669196,3.672645298801313,37.272053729122945,3.5107106466915114
91.19999999999696,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.965106666669197,-26.965106666669197,3.6750885715133705,37.24478423574735,3.4688015368539893
91.24999999999696,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.979906666669198,-26.979906666669198,3.677531844225428,37.21741242848288,3.426959178849076
91.29999999999696,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-26.9947066666692,-26.9947066666692,3.6799751169374852,37.18993847072767,3.3851838224580164
91.34999999999695,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.0095066666692,-27.0095066666692,3.6824183896495426,37.16236252648968,3.3434757170620824
91.39999999999695,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.0243066666692,-27.0243066666692,3.6848616623616,37.134684760385674,3.3018351116410862
91.44999999999695,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.039106666669202,-27.039106666669202,3.6873049350736573,37.10690533764026,3.260262254771894
91.49999999999694,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.053906666669203,-27.053906666669203,3.6897482077857147,37.07902442408487,3.218757394626942
91.54999999999694,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.068706666669204,-27.068706666669204,3.692191480497772,37.05104218615682,3.1773207789727542
91.59999999999694,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.083506666669205,-27.083506666669205,3.6946347532098294,37.022958790898265,3.135952655168463
91.64999999999694,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.098306666669206,-27.098306666669206,3.6970780259218867,36.99477440595525,3.094653270164334
91.69999999999693,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.113106666669207,-27.113106666669207,3.699521298633944,36.966489199576685,3.0534228705002917
91.74999999999693,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.127906666669208,-27.127906666669208,3.7019645713460014,36.93810334061331,3.0122617023044462
91.79999999999693,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.14270666666921,-27.14270666666921,3.704407844058059,36.90961699851676,2.9711700112916257
91.84999999999692,0.05,0.07443712571438876,1.0,0.0761112474710957,0.07283493844700055,-27.15750666666921,-27.15750666666921,3.706851116770116,36.88103034333847,2.9301480427619078
