time,step-size,{controller}.Steering_control.delta_f,{controller}.Steering_control.speed,{robot}.robotti_global.theta,{robot}.robotti_global.x,{robot}.robotti_global.y
7.499999999999989,0.1,0.0,1.0,0.0,0.0,7.398333333333325
7.599999999999989,0.1,0.0,1.0,0.0,0.0,7.498333333333325
7.699999999999989,0.1,0.0,1.0,0.0,0.0,7.598333333333325
7.799999999999988,0.1,0.0,1.0,0.0,0.0,7.698333333333324
7.899999999999988,0.1,0.0,1.0,0.0,0.0,7.798333333333324
7.999999999999988,0.1,0.0,1.0,0.0,0.0,7.898333333333324
8.099999999999987,0.1,0.0,1.0,0.0,0.0,7.998333333333323
8.199999999999987,0.1,0.0,1.0,0.0,0.0,8.098333333333324
8.299999999999986,0.1,0.0,1.0,0.0,0.0,8.198333333333323
8.399999999999986,0.1,0.0,1.0,0.0,0.0,8.298333333333323
8.499999999999986,0.1,0.0,1.0,0.0,0.0,8.398333333333323
8.599999999999985,0.1,0.0,1.0,0.0,0.0,8.498333333333322
8.699999999999985,0.1,0.0,1.0,0.0,0.0,8.598333333333322
8.799999999999985,0.1,0.0,1.0,0.0,0.0,8.698333333333322
8.899999999999984,0.1,0.0,1.0,0.0,0.0,8.798333333333321
8.999999999999984,0.1,0.0,1.0,0.0,0.0,8.898333333333321
9.099999999999984,0.1,0.0,1.0,0.0,0.0,8.99833333333332
9.199999999999983,0.1,0.0,1.0,0.0,0.0,9.09833333333332
9.299999999999983,0.1,0.0,1.0,0.0,0.0,9.19833333333332
9.399999999999983,0.1,0.0,1.0,0.0,0.0,9.29833333333332
9.499999999999982,0.1,0.0,1.0,0.0,0.0,9.39833333333332
9.599999999999982,0.1,0.0,1.0,0.0,0.0,9.498333333333319
9.699999999999982,0.1,0.0,1.0,0.0,0.0,9.598333333333319
9.799999999999981,0.1,0.0,1.0,0.0,0.0,9.698333333333318
9.89999999999998,0.1,0.0,1.0,0.0,0.0,9.798333333333318
9.99999999999998,0.1,0.0,1.0,0.0,0.0,9.898333333333317
10.09999999999998,0.1,0.0,1.0,0.0,0.0,9.998333333333317
10.19999999999998,0.1,0.0,1.0,0.0,0.0,10.098333333333317
